id,name,food_origin,regional_cuisine,main_type,sub_type,flavor_tags,scene_tags,feature_tags,seasonal_terms,budget_level,cook_time_minutes,difficulty,ingredients,is_spicy,is_vegetarian,calorie_level,description
38,番茄滑蛋汤面,中式,中式家常,正餐,面类,鲜香|清淡,一个人吃|夜宵,暖胃|快手|清爽|素食友好,,低预算,18,简单,挂面|番茄|鸡蛋|青菜,0,1,低,带汤又温和，适合没胃口但想吃热乎一点的时候。
39,罗勒鸡肉帕尼尼,西式,美式西餐,正餐,菜肴类,鲜香|蒜香,一个人吃|下午茶,高蛋白|快手,,中等预算,15,简单,鸡胸肉|罗勒酱|芝士|面包,0,0,中等,带一点烘烤香气，适合当轻午餐或咸口下午茶。
40,韩式牛肉拌饭,韩式,韩式,正餐,饭类,重口|鲜香,一个人吃|双人晚餐,下饭|解馋|高蛋白,,中等预算,30,中等,牛肉|胡萝卜|菠菜|韩式辣酱,1,0,中等,配菜丰富又有层次，是稳妥的高满足感选择。
41,奶油蘑菇意面,西式,美式西餐,正餐,面类,奶香|鲜香,双人晚餐|一个人吃,治愈|素食友好|暖胃,,中等预算,25,简单,意面|蘑菇|淡奶油|蒜,0,1,中等,奶香柔和，适合想吃得舒服一点但又不想太麻烦。
42,烤时蔬鹰嘴豆沙拉,西式,西式轻食,轻食早午餐,沙拉碗类,清淡|酸甜,一个人吃|健身准备餐,清爽|素食友好,,中等预算,25,简单,鹰嘴豆|南瓜|羽衣甘蓝|油醋汁,0,1,低,有饱腹感但不沉重，适合轻松的一餐。
43,海鲜芝士焗饭,西式,美式西餐,正餐,饭类,奶香|鲜香,双人晚餐|朋友聚餐,分享|治愈,,高预算,35,中等,虾仁|鱿鱼|米饭|芝士,0,0,高,香浓热乎，适合和朋友一起分着吃。
44,山药排骨汤,中式,中式家常,正餐,锅汤类,清淡|鲜香,双人晚餐,暖胃|治愈,,中等预算,60,中等,排骨|山药|胡萝卜|姜,0,0,中等,很适合想喝点汤、让整顿饭更温和的时候。
45,香辣口水鸡,中式,川菜,正餐,菜肴类,香辣|蒜香,双人晚餐|朋友聚餐,解馋|分享|下饭,,中等预算,30,中等,鸡腿肉|花椒油|芝麻|黄瓜,1,0,中等,凉菜也能很有冲击力，适合搭配其他热菜一起吃。
46,照烧豆腐饭,日式,日式,正餐,饭类,酱香|清淡,一个人吃|健身准备餐,素食友好|快手|清爽,,低预算,20,简单,豆腐|西兰花|米饭|照烧汁,0,1,低,味道柔和又有蛋白来源，很适合想吃素一点的时候。
47,柠檬蜂蜜气泡饮,饮品特调,饮品特调,饮品,气泡饮类,酸甜|清淡,下午茶|一个人吃,清爽|快手|素食友好,,低预算,8,简单,柠檬|蜂蜜|气泡水|薄荷,0,1,低,清爽有提神感，适合炎热天气或下午犯困的时候。
48,冰美式咖啡,西式,美式西餐,饮品,咖啡类,清淡|酸甜,下午茶|一个人吃,快手|素食友好,,低预算,5,简单,浓缩咖啡|冰块|水,0,1,低,很适合作为工作日下午的提神搭子。
49,热拿铁,西式,美式西餐,饮品,咖啡类,奶香|清淡,下午茶,治愈|快手|素食友好,,低预算,8,简单,浓缩咖啡|牛奶,0,1,中等,暖暖的一杯很适合早晨或者想放松一下的时候。
50,抹茶拿铁,西式,美式西餐,饮品,咖啡类,奶香|酸甜,下午茶|一个人吃,治愈|快手|素食友好,,中等预算,10,简单,抹茶粉|牛奶|糖浆,0,1,中等,茶香和奶香都比较柔和，适合下午放松。
51,肉松小贝,西式,西式甜点,甜品,蛋糕类,鲜香|奶香,下午茶|朋友聚餐,解馋|分享,,中等预算,25,简单,蛋糕胚|肉松|沙拉酱|海苔,0,0,高,咸甜结合，很适合不想只吃甜点的人。
52,火腿芝士司康,西式,西式甜点,甜品,烘焙点心类,鲜香|奶香,下午茶|一个人吃,快手,,中等预算,35,简单,低筋面粉|火腿|芝士|黄油,0,0,中等,咸口烘焙更耐吃，适合配咖啡慢慢吃。
53,红豆年糕汤,韩式,韩式,甜品,蛋糕类,酸甜|奶香,夜宵|下午茶,暖胃|治愈|素食友好,,低预算,20,简单,年糕|红豆|糖|水,0,1,中等,软糯温暖，适合天凉的时候给自己一点安慰。
54,法式洋葱汤,西式,法式西餐,正餐,锅汤类,鲜香,双人晚餐|夜宵,暖胃|治愈|素食友好,,中等预算,45,中等,洋葱|黄油|高汤|面包片,0,1,中等,香味很浓，适合慢慢喝一碗的舒缓时刻。
55,鸡肉凯撒卷,西式,西式轻食,轻食早午餐,吐司卷饼类,鲜香|蒜香,一个人吃|健身准备餐,高蛋白|快手|清爽,,中等预算,15,简单,鸡肉|生菜|卷饼|凯撒酱,0,0,中等,便携也有满足感，适合快节奏午餐。
56,烤鸡蔬菜拼盘,西式,西式轻食,轻食早午餐,轻主食类,清淡|鲜香,双人晚餐|健身准备餐,高蛋白|清爽,,中等预算,35,简单,鸡腿排|西葫芦|南瓜|彩椒,0,0,低,盘子看起来很丰盛，但整体仍然比较轻。
57,奶油玉米浓汤,西式,西式轻食,轻食早午餐,轻主食类,奶香|鲜香,下午茶|双人晚餐,暖胃|治愈|素食友好,,低预算,20,简单,玉米|牛奶|洋葱|黄油,0,1,中等,香甜柔和，适合作为一顿饭前的小满足。
58,蜂蜜黄油吐司,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|一个人吃,治愈|快手|素食友好,,低预算,15,简单,吐司|黄油|蜂蜜|炼乳,0,1,高,简单直接但很有快乐感，适合嘴馋时的小奖励。
59,紫薯酸奶碗,西式,西式轻食,轻食早午餐,早餐碗类,酸甜|清淡,早餐|下午茶,清爽|快手|素食友好,,低预算,10,简单,紫薯|酸奶|香蕉|坚果,0,1,低,颜色好看又轻盈，适合作为早餐或轻下午茶。
60,芒果椰奶西米露,中式,中式甜品,甜品,中式甜品类,酸甜|奶香,下午茶|朋友聚餐,分享|清爽|素食友好,,中等预算,20,简单,芒果|椰奶|西米|糖,0,1,中等,冰凉顺口，适合多人一起吃的夏日甜品。
61,烤鸡肉可萨迪亚,拉美,墨西哥风味,正餐,菜肴类,鲜香|奶香,双人晚餐|朋友聚餐,分享|解馋|快手|下饭,,中等预算,20,简单,鸡肉|玉米饼|芝士|彩椒,0,0,中等,很适合切开分享，适合轻松的小聚。
62,菠菜蘑菇蛋饼,西式,西式轻食,轻食早午餐,轻主食类,清淡|鲜香,早餐|一个人吃,高蛋白|快手|清爽|素食友好,,低预算,12,简单,鸡蛋|菠菜|蘑菇|牛奶,0,1,低,简单但很稳，适合早上赶时间又想吃得像样一点。
63,香蕉燕麦松饼,西式,西式甜点,甜品,蛋糕类,酸甜|奶香,早餐|下午茶,治愈|快手|素食友好,,低预算,20,简单,香蕉|燕麦|鸡蛋|牛奶,0,1,中等,不算太厚重，适合作为轻松的小甜点。
64,香烤牛肉卷饼,西式,美式西餐,正餐,饼类,重口|鲜香,一个人吃|朋友聚餐,解馋|快手|高蛋白|下饭,,中等预算,20,简单,牛肉片|卷饼|生菜|洋葱,0,0,中等,便携又很有满足感，适合忙碌时快速解决一餐。
65,番茄罗勒玛格丽特披萨,西式,意式,正餐,饼类,鲜香,双人晚餐|朋友聚餐,分享|治愈|素食友好,,高预算,40,中等,披萨面团|番茄|马苏里拉|罗勒,0,1,高,简单配料也能很好吃，适合轻松的聚会氛围。
66,芝麻酱凉面,中式,中式家常,正餐,面类,鲜香|蒜香,一个人吃,快手|清爽|下饭|解馋|素食友好|暖胃,,低预算,15,简单,面条|芝麻酱|黄瓜|蒜,0,1,中等,凉爽又有味道，适合天气热的时候。
67,香橙鸭胸沙拉,西式,西式轻食,轻食早午餐,沙拉碗类,酸甜|鲜香,双人晚餐|健身准备餐,高蛋白,,高预算,25,中等,鸭胸|橙子|芝麻菜|坚果,0,0,中等,适合想吃得高级一点但又不想太腻。
68,热巧克力,饮品特调,饮品特调,饮品,热饮类,奶香|酸甜,下午茶,治愈|暖胃|素食友好,,低预算,10,简单,可可粉|牛奶|糖,0,1,中等,很适合天冷或情绪低落的时候喝一杯。
69,柚子绿茶,饮品特调,饮品特调,饮品,茶饮类,酸甜|清淡,下午茶|一个人吃,清爽|素食友好,,低预算,8,简单,绿茶|西柚|蜂蜜|冰块,0,1,低,清新感很强，适合下午想提提神的时候。
70,红丝绒纸杯蛋糕,西式,西式甜点,甜品,蛋糕类,酸甜|奶香,下午茶|朋友聚餐,分享|治愈|素食友好,,中等预算,40,中等,低筋面粉|可可粉|奶油奶酪|鸡蛋,0,1,高,颜色和口感都很适合庆祝或拍照。
71,抹茶白巧布朗尼,西式,西式甜点,甜品,蛋糕类,奶香|酸甜,下午茶|一个人吃,解馋|素食友好,,中等预算,35,简单,白巧克力|抹茶粉|黄油|鸡蛋,0,1,高,更偏浓郁系，适合想吃得有点满足感的时候。
72,海盐焦糖冰淇淋杯,西式,西式甜点,甜品,冰品类,酸甜|奶香,下午茶|夜宵,解馋|治愈|素食友好,,中等预算,10,简单,冰淇淋|焦糖酱|海盐|坚果,0,1,高,冷甜感很直接，适合作为嘴馋时的快乐奖励。
73,台式卤肉饭,中式,台式,正餐,饭类,酱香|鲜香,一个人吃|双人晚餐,下饭|解馋,,中等预算,35,中等,五花肉|洋葱|鸡蛋|米饭,0,0,高,酱香浓郁而且很稳，是很经典的治愈型主食。
74,日式肥牛饭,日式,日式,正餐,饭类,鲜香|酱香,一个人吃|双人晚餐,下饭|快手|治愈|解馋,,中等预算,20,简单,肥牛|洋葱|酱油|米饭,0,0,中等,做法快又有满足感，适合工作日想省心吃好一点。
75,海南鸡饭,东南亚,南洋风味,正餐,饭类,清淡|鲜香,一个人吃|双人晚餐,高蛋白|清爽,,中等预算,40,中等,鸡腿肉|黄瓜|米饭|姜葱酱,0,0,中等,口味温和又有层次，适合想吃舒服一点的正餐。
76,红烧排骨饭,中式,中式家常,正餐,饭类,鲜香|酱香,双人晚餐,下饭|治愈|解馋,,中等预算,50,中等,排骨|土豆|生抽|冰糖,0,0,高,是很经典的家常硬菜，适合认真吃一顿饭。
77,豉汁蒸排骨,中式,粤菜,正餐,菜肴类,鲜香|蒜香,双人晚餐|朋友聚餐,分享,,中等预算,35,中等,排骨|豆豉|蒜|淀粉,0,0,中等,咸鲜带蒜香，适合搭米饭也适合多人一起吃。
78,香煎鸡排咖喱饭,日式,日式,正餐,饭类,酱香|重口,一个人吃|双人晚餐,下饭|解馋,,中等预算,30,简单,鸡排|咖喱块|土豆|米饭,0,0,高,酥香鸡排配咖喱很有满足感，属于怎么吃都稳的类型。
79,番茄肉酱意面,西式,意式,正餐,面类,鲜香,一个人吃|双人晚餐,快手|治愈|下饭|解馋|暖胃,,中等预算,25,简单,意面|牛肉末|番茄|洋葱,0,0,中等,酸香肉酱很顺口，适合想吃西式主食又不想太复杂的时候。
80,香草烤鸡腿配土豆,西式,美式西餐,正餐,菜肴类,鲜香,双人晚餐,高蛋白,,中等预算,45,中等,鸡腿|土豆|迷迭香|蒜,0,0,中等,烤出来的香气很舒服，适合周末慢一点做顿饭。
81,三杯鸡,中式,台式,甜品,蛋糕类,酱香|蒜香,双人晚餐|下午茶,下饭|治愈|解馋,,中等预算,35,中等,鸡腿肉|九层塔|姜|麻油,0,0,中等,香味很足而且下饭，属于很有记忆点的家常热菜。
82,葱爆牛肉,中式,中式家常,正餐,菜肴类,重口|鲜香,双人晚餐|朋友聚餐,解馋|分享|下饭,,中等预算,20,简单,牛肉|大葱|生抽|胡椒,0,0,中等,大葱香和牛肉香都很明显，适合想吃口味重一点的时候。
83,菠萝咕咾肉,中式,粤菜,正餐,菜肴类,酸甜|鲜香,双人晚餐|朋友聚餐,分享,,中等预算,35,中等,里脊肉|菠萝|彩椒|番茄酱,0,0,高,酸甜很讨喜，适合多人一起吃也比较不挑人。
84,辣子鸡丁,中式,川菜,正餐,菜肴类,香辣|重口,朋友聚餐|夜宵,解馋|分享|下饭,,中等预算,30,中等,鸡腿肉|干辣椒|花椒|芝麻,1,0,高,香辣感很直接，适合想吃得过瘾一点的时候。
85,水煮鱼片,中式,川菜,正餐,菜肴类,香辣|鲜香|麻辣,双人晚餐|朋友聚餐,暖胃|分享|解馋|下饭,,高预算,35,中等,鱼片|豆芽|花椒|干辣椒,1,0,中等,麻辣鲜香都很在线，特别适合多人围着吃。
86,蒜蓉粉丝虾,中式,粤菜,正餐,菜肴类,蒜香|鲜香,双人晚餐|朋友聚餐,分享,,高预算,25,中等,大虾|粉丝|蒜蓉|酱油,0,0,中等,蒜香和海鲜鲜味都很突出，适合想吃得体面一点。
87,椒盐鸡翅,中式,中式家常,正餐,菜肴类,鲜香|蒜香,朋友聚餐|夜宵,解馋|分享|下饭,,中等预算,25,简单,鸡翅|椒盐|蒜|淀粉,0,0,高,外酥里嫩很适合聚会或追剧时边吃边聊。
88,铁板黑椒鸡柳,西式,美式西餐,正餐,菜肴类,重口|鲜香,一个人吃|双人晚餐,高蛋白|解馋|快手|下饭,,中等预算,20,简单,鸡胸肉|洋葱|彩椒|黑椒汁,0,0,中等,黑椒香气明显，适合想吃得利落又有味道的时候。
89,台式三杯杏鲍菇,中式,台式,甜品,蛋糕类,酱香|蒜香,双人晚餐|下午茶,素食友好|治愈,,中等预算,25,简单,杏鲍菇|九层塔|姜|酱油,0,1,低,香味足又不厚重，是很有满足感的素食热菜。
90,金枪鱼玉米焗饭,西式,美式西餐,正餐,饭类,奶香|鲜香,一个人吃|双人晚餐,高蛋白|治愈,,中等预算,30,简单,金枪鱼|玉米|米饭|芝士,0,0,中等,香浓又不至于太腻，属于很稳的安慰型主食。
91,扬州炒饭,中式,中式家常,正餐,饭类,鲜香,一个人吃|双人晚餐,快手|下饭|解馋,,低预算,20,简单,米饭|鸡蛋|火腿|豌豆,0,0,中等,经典耐吃而且选择门槛低，适合不知道吃什么时。
92,虾仁炒乌冬,日式,日式,正餐,面类,鲜香|蒜香,一个人吃|双人晚餐,高蛋白|快手,,中等预算,20,简单,乌冬面|虾仁|卷心菜|酱油,0,0,中等,口感弹而不重，适合工作日晚餐快速解决。
93,韩式泡菜豆腐锅,韩式,韩式,正餐,锅汤类,香辣|鲜香|酸甜,一个人吃|夜宵,暖胃|素食友好,,中等预算,25,简单,泡菜|豆腐|金针菇|洋葱,1,1,低,热辣又暖，特别适合晚上想吃点有情绪价值的东西。
94,日式味噌拉面,日式,日式,正餐,面类,鲜香,一个人吃|夜宵,暖胃|治愈,,中等预算,30,中等,拉面|味噌|鸡蛋|海苔,0,0,中等,汤底浓郁又舒服，适合想吃热乎一点的时候。
95,酸辣土豆丝盖饭,中式,中式家常,正餐,饭类,酸甜|香辣,一个人吃,下饭|快手|省钱|解馋|素食友好,,低预算,15,简单,土豆|青椒|干辣椒|米饭,1,1,低,酸辣开胃又很省钱，是高性价比的一人食。
96,香菇鸡肉粥,中式,中式家常,轻食早午餐,轻主食类,清淡|鲜香,一个人吃|夜宵,暖胃|治愈,,低预算,35,简单,大米|鸡胸肉|香菇|姜丝,0,0,低,温和顺口，适合没什么胃口但又想吃热的。
97,皮蛋瘦肉粥,中式,中式家常,正餐,锅汤类,鲜香,早餐|一个人吃,暖胃|治愈,,低预算,30,简单,大米|瘦肉|皮蛋|葱花,0,0,低,很熟悉的味道，适合想吃得稳妥舒服一点。
98,罗宋汤,西式,美式西餐,正餐,锅汤类,酸甜|鲜香,双人晚餐,暖胃,,中等预算,45,中等,牛肉|番茄|卷心菜|土豆,0,0,低,酸香热乎而且很有家常感，适合天凉时慢慢喝。
99,南瓜浓汤,西式,西式轻食,轻食早午餐,轻主食类,奶香|清淡,下午茶|双人晚餐,暖胃|治愈|素食友好,,低预算,25,简单,南瓜|牛奶|洋葱|黄油,0,1,低,香甜柔和又很顺口，适合作为轻盈的一餐或配菜。
100,羽衣甘蓝鸡肉能量碗,西式,西式轻食,轻食早午餐,沙拉碗类,清淡|鲜香,一个人吃|健身准备餐,高蛋白|清爽,,高预算,25,简单,鸡胸肉|羽衣甘蓝|藜麦|牛油果,0,0,低,蛋白和纤维都很足，适合想吃得干净一点。
101,烤三文鱼藜麦沙拉,西式,西式轻食,轻食早午餐,沙拉碗类,清淡|鲜香,双人晚餐|健身准备餐,高蛋白|清爽,,高预算,30,中等,三文鱼|藜麦|生菜|柠檬汁,0,0,低,看起来轻盈但饱腹感很好，适合精致型轻食。
102,荞麦冷面,日式,日式,轻食早午餐,轻主食类,清淡|鲜香,一个人吃,清爽|快手|素食友好|暖胃,,中等预算,15,简单,荞麦面|海苔|黄瓜|酱汁,0,1,低,冰凉清爽而且不腻，适合炎热天气的午餐。
103,鸡胸肉波奇饭,西式,西式轻食,轻食早午餐,沙拉碗类,鲜香|酸甜,一个人吃|健身准备餐,高蛋白|清爽|快手,,高预算,20,简单,鸡胸肉|牛油果|毛豆|糙米,0,0,低,组合感很强，适合想吃得丰富又不重的人。
104,牛肉温泉蛋饭,日式,日式,正餐,饭类,鲜香|酱香,一个人吃|双人晚餐,高蛋白|治愈,,中等预算,25,简单,牛肉片|鸡蛋|米饭|洋葱,0,0,中等,温泉蛋让口感更柔和，属于稳妥又顺口的一餐。
105,菠菜菲达芝士烘蛋,西式,西式轻食,轻食早午餐,轻主食类,奶香|鲜香,早餐|双人晚餐,高蛋白|素食友好,,中等预算,20,简单,鸡蛋|菠菜|芝士|牛奶,0,1,中等,早午餐气质很足，也适合不想吃太厚重的晚上。
106,烟熏三文鱼贝果,西式,西式轻食,轻食早午餐,三明治贝果类,鲜香|奶香,早餐|下午茶,高蛋白,,高预算,15,简单,贝果|烟熏三文鱼|奶油奶酪|芝麻菜,0,0,中等,很适合周末早午餐，轻松就能吃出一点仪式感。
107,法式火腿可颂,西式,西式轻食,轻食早午餐,吐司卷饼类,奶香|鲜香,早餐|下午茶,快手|下饭|解馋,,中等预算,12,简单,可颂|火腿|芝士|黄油,0,0,中等,咸香耐吃而且不单调，适合早上或下午饿了时来一个。
